#!2theta	Int
#
6.02004	23.75968
6.02528	23.72676
6.03053	24.21670
6.03577	24.52980
6.04101	24.06470
6.04625	23.21382
6.05149	23.23678
6.05673	24.13656
6.06197	25.04284
6.06722	24.80226
6.07246	24.83698
6.07770	24.73290
6.08294	25.00360
6.08818	24.70554
6.09342	24.68274
6.09866	24.74530
6.10390	24.44146
6.10914	23.43588
6.11438	22.82142
6.11962	22.57452
6.12486	21.66130
6.13010	21.68424
6.13534	22.61056
6.14058	23.52552
6.14582	24.18362
6.15106	24.31514
6.15630	24.35770
6.16154	23.98926
6.16678	23.70526
6.17202	24.31584
6.17725	24.52372
6.18249	24.85576
6.18773	25.21160
6.19297	25.24498
6.19821	25.13032
6.20345	24.84630
6.20869	24.87884
6.21392	25.07886
6.21916	25.20382
6.22440	23.84230
6.22964	23.25852
6.23488	23.34880
6.24011	23.35368
6.24535	24.07054
6.25059	25.42188
6.25583	25.40554
6.26106	24.69282
6.26630	24.00952
6.27154	23.42886
6.27677	23.02330
6.28201	22.94430
6.28725	23.16546
6.29249	23.41792
6.29772	23.56152
6.30296	24.20116
6.30819	24.96750
6.31343	24.82526
6.31867	24.60636
6.32390	24.64832
6.32914	24.47156
6.33437	24.19356
6.33961	23.94424
6.34485	24.78786
6.35008	25.48512
6.35532	25.67714
6.36055	25.37612
6.36579	25.04422
6.37102	24.87160
6.37626	24.71672
6.38149	24.62338
6.38673	24.61936
6.39196	25.44112
6.39720	26.70410
6.40243	26.92614
6.40766	27.46440
6.41290	27.55274
6.41813	28.03296
6.42337	27.67834
6.42860	27.63560
6.43383	27.77890
6.43907	27.50628
6.44430	26.81402
6.44953	25.98688
6.45477	26.32588
6.46000	26.14378
6.46523	26.45146
6.47047	26.75386
6.47570	26.62404
6.48093	27.30318
6.48617	27.20614
6.49140	26.75940
6.49663	26.01726
6.50186	25.81160
6.50710	26.45392
6.51233	26.91668
6.51756	26.52410
6.52279	26.70510
6.52802	27.09694
6.53325	27.38086
6.53849	27.40268
6.54372	27.35598
6.54895	28.02796
6.55418	28.05852
6.55941	28.06990
6.56464	28.21690
6.56987	27.79284
6.57510	27.62166
6.58034	28.05416
6.58557	29.04522
6.59080	29.72476
6.59603	31.06310
6.60126	31.85658
6.60649	32.18670
6.61172	32.05886
6.61695	32.90458
6.62218	34.25314
6.62741	36.20704
6.63264	39.70672
6.63787	45.46932
6.64310	54.04762
6.64832	71.60828
6.65355	106.37500
6.65878	168.86560
6.66401	259.38460
6.66924	358.14100
6.67447	413.37320
6.67970	391.32140
6.68493	307.46580
6.69015	209.81180
6.69538	134.01940
6.70061	87.63202
6.70584	61.36872
6.71107	46.26618
6.71629	40.63840
6.72152	37.33926
6.72675	34.56572
6.73198	33.37298
6.73720	31.90176
6.74243	30.57668
6.74766	30.21214
6.75289	30.50350
6.75811	30.75028
6.76334	30.06092
6.76857	29.08648
6.77379	27.91402
6.77902	27.47126
6.78425	27.63150
6.78947	27.86176
6.79470	27.92254
6.79992	28.18856
6.80515	27.84544
6.81038	27.58114
6.81560	27.80336
6.82083	26.65952
6.82605	26.20626
6.83128	26.29112
6.83650	26.52986
6.84173	27.33974
6.84695	27.48508
6.85218	27.63436
6.85740	26.87294
6.86263	26.59320
6.86785	26.96226
6.87308	26.76022
6.87830	25.82156
6.88353	25.56218
6.88875	25.89422
6.89397	25.69236
6.89920	25.28044
6.90442	25.78174
6.90964	26.05682
6.91487	26.62514
6.92009	27.21272
6.92531	27.69180
6.93054	28.49004
6.93576	28.95708
6.94098	29.71896
6.94621	32.50824
6.95143	36.29230
6.95665	40.74950
6.96187	44.06416
6.96710	46.04198
6.97232	44.70130
6.97754	40.72474
6.98276	36.05140
6.98798	31.96168
