text_1.dat                                                                      
poles     0  0  1
      phi     theta      int
    -7.500    54.618     0.000
    -2.500    54.618     0.332
     2.500    54.618     0.332
     7.500    54.618     0.000
    12.500    54.618     0.000
    17.500    54.618     0.000
    22.500    54.618     0.000
    27.500    54.618     0.000
    32.500    54.618     0.000
    37.500    54.618     0.000
    42.500    54.618     0.000
    47.500    54.618     0.000
    52.500    54.618     0.000
    57.500    54.618     0.000
    62.500    54.618     0.000
    67.500    54.618     0.000
    72.500    54.618     0.000
    77.500    54.618     0.000
    82.500    54.618     0.000
    87.500    54.618     0.332
    92.500    54.618     0.332
    97.500    54.618     0.000
   102.500    54.618     0.000
   107.500    54.618     0.000
   112.500    54.618     0.000
   117.500    54.618     0.000
   122.500    54.618     0.000
   127.500    54.618     0.000
   132.500    54.618     0.000
   137.500    54.618     0.000
   142.500    54.618     0.000
   147.500    54.618     0.000
   152.500    54.618     0.000
   157.500    54.618     0.000
   162.500    54.618     0.000
   167.500    54.618     0.000
   172.500    54.618     0.000
   177.500    54.618     0.332
   182.500    54.618     0.332
  -182.500    59.334     1.659
  -177.500    59.334     1.659
  -172.500    59.334     0.001
  -167.500    59.334     0.000
  -162.500    59.334     0.000
  -157.500    59.334     0.000
  -152.500    59.334     0.000
  -147.500    59.334     0.000
  -142.500    59.334     0.000
  -137.500    59.334     0.000
  -132.500    59.334     0.000
  -127.500    59.334     0.000
  -122.500    59.334     0.000
  -117.500    59.334     0.000
  -112.500    59.334     0.000
  -107.500    59.334     0.000
  -102.500    59.334     0.000
   -97.500    59.334     0.001
   -92.500    59.334     1.659
   -87.500    59.334     1.659
   -82.500    59.334     0.001
   -77.500    59.334     0.000
   -72.500    59.334     0.000
   -67.500    59.334     0.000
   -62.500    59.334     0.000
   -57.500    59.334     0.000
   -52.500    59.334     0.000
   -47.500    59.334     0.000
   -42.500    59.334     0.000
   -37.500    59.334     0.000
   -32.500    59.334     0.000
   -27.500    59.334     0.000
   -22.500    59.334     0.000
   -17.500    59.334     0.000
   -12.500    59.334     0.000
    -7.500    59.334     0.001
    -2.500    59.334     1.659
     2.500    59.334     1.659
     7.500    59.334     0.001
    12.500    59.334     0.000
    17.500    59.334     0.000
    22.500    59.334     0.000
    27.500    59.334     0.000
    32.500    59.334     0.000
    37.500    59.334     0.000
    42.500    59.334     0.000
    47.500    59.334     0.000
    52.500    59.334     0.000
    57.500    59.334     0.000
    62.500    59.334     0.000
    67.500    59.334     0.000
    72.500    59.334     0.000
    77.500    59.334     0.000
    82.500    59.334     0.001
    87.500    59.334     1.659
    92.500    59.334     1.659
    97.500    59.334     0.001
   102.500    59.334     0.000
   107.500    59.334     0.000
   112.500    59.334     0.000
   117.500    59.334     0.000
   122.500    59.334     0.000
   127.500    59.334     0.000
   132.500    59.334     0.000
   137.500    59.334     0.000
   142.500    59.334     0.000
   147.500    59.334     0.000
   152.500    59.334     0.000
   157.500    59.334     0.000
   162.500    59.334     0.000
   167.500    59.334     0.000
   172.500    59.334     0.001
   177.500    59.334     1.659
   182.500    59.334     1.659
  -182.500    64.051     4.112
  -177.500    64.051     4.112
  -172.500    64.051     0.003
  -167.500    64.051     0.000
  -162.500    64.051     0.000
  -157.500    64.051     0.000
  -152.500    64.051     0.000
  -147.500    64.051     0.000
  -142.500    64.051     0.000
  -137.500    64.051     0.000
  -132.500    64.051     0.000
  -127.500    64.051     0.000
  -122.500    64.051     0.000
  -117.500    64.051     0.000
  -112.500    64.051     0.000
  -107.500    64.051     0.000
  -102.500    64.051     0.000
   -97.500    64.051     0.003
   -92.500    64.051     4.112
   -87.500    64.051     4.112
   -82.500    64.051     0.003
   -77.500    64.051     0.000
   -72.500    64.051     0.000
   -67.500    64.051     0.000
   -62.500    64.051     0.000
   -57.500    64.051     0.000
   -52.500    64.051     0.000
   -47.500    64.051     0.000
   -42.500    64.051     0.000
   -37.500    64.051     0.000
   -32.500    64.051     0.000
   -27.500    64.051     0.000
   -22.500    64.051     0.000
   -17.500    64.051     0.000
   -12.500    64.051     0.000
    -7.500    64.051     0.003
    -2.500    64.051     4.112
     2.500    64.051     4.112
     7.500    64.051     0.003
    12.500    64.051     0.000
    17.500    64.051     0.000
    22.500    64.051     0.000
